ID,Week,Show Name,Theatre,Gross,Potential Gross,Gross Diff,Avg Ticket Price,Top Ticket Price,Seats Sold,Seats in the Theatre,Performances,Previews,Capacity,Capacity Diff,Month,Season
20190073,01/20/19,Chicago,Ambassador Theatre,564905.05,967724,43429.95,84.28,203,6703,1080,8,0,0.78,0.04,1,Winter
20190074,01/20/19,Choir Boy,Samuel J. Friedman Theatre,343856.9,686712,82181.4,80,249,4298,637,8,0,0.84,-0.11,1,Winter
20190075,01/20/19,Come From Away,Gerald Schoenfeld Theatre,1047034.84,1154784,37518.84,123.12,297,8504,1046,8,0,1.02,0,1,Winter
20190076,01/20/19,Dear Evan Hansen,Music Box Theatre,1308966.17,1352224,-9648.98,163.81,397,7991,984,8,0,1.02,0,1,Winter
20190077,01/20/19,Frozen,St. James Theatre,1249532.1,1326583,-77803.3,107.11,299.5,11666,1684,8,0,0.87,-0.07,1,Winter
20190078,01/20/19,Hamilton,Richard Rodgers Theatre,3217087,3030472,59357,299.15,849,10754,1321,8,0,1.02,0,1,Winter
20190079,01/20/19,"Harry Potter and the Cursed Child, Parts One and Two",Lyric Theatre,2063774,1988464,10741.5,159.05,296.5,12976,1622,8,0,1,0,1,Winter
20190080,01/20/19,King Kong,Broadway Theatre,710009.65,1596930,-45696.35,79.49,347,8932,1738,8,0,0.64,-0.02,1,Winter
20190081,01/20/19,Kinky Boots,Al Hirschfeld Theatre,664409.05,1294256,80442.25,86.16,249,7711,1424,8,0,0.68,0.08,1,Winter
20190082,01/20/19,Mean Girls,August Wilson Theatre,1286297,1328576,38000.8,133.99,299.5,9600,1225,8,0,0.98,-0.02,1,Winter
20190083,01/20/19,Mike Birbiglia's The New One,Cort Theatre,533335,982794,65420.5,84.43,223,6317,1073,8,0,0.74,0.04,1,Winter
20190084,01/20/19,My Fair Lady,Vivian Beaumont Theater,895277,1396120,-6823.5,126.2,323,7094,1069,8,0,0.83,-0.02,1,Winter
20190085,01/20/19,Network,Belasco Theatre,1051928.72,954335,25920.96,147.49,473,7132,1015,7,0,1,0.01,1,Winter
20190086,01/20/19,Pretty Woman: The Musical,Nederlander Theatre,868871.9,1365328,44505.6,112.56,275,7719,1168,8,0,0.83,0.01,1,Winter
20190087,01/20/19,School of Rock - The Musical,Winter Garden Theatre,909452,1443688,173776.4,91.98,273,9887,1523,8,0,0.81,0.07,1,Winter
20190088,01/20/19,The Band's Visit,Ethel Barrymore Theatre,581856.2,1031928,31229.6,76.11,247,7645,1039,8,0,0.92,-0.02,1,Winter
20190089,01/20/19,The Book of Mormon,Eugene O'Neill Theatre,1144677.5,1190502,7191,132.06,477.5,8668,1047,8,0,1.03,0.01,1,Winter
20190090,01/20/19,The Cher Show,Neil Simon Theatre,1106751,1491200,-27630.8,108.93,247,10160,1380,8,0,0.92,0,1,Winter
20190091,01/20/19,The Ferryman,Bernard B. Jacobs Theatre,824276.3,994184,-50309.4,110.98,297,7427,1019,8,0,0.91,-0.01,1,Winter
20190092,01/20/19,The Lion King,Minskoff Theatre,1794617,1969027,-54050,135.02,225,13291,1696,8,0,0.98,0.02,1,Winter
20190093,01/20/19,The Phantom of the Opera,Majestic Theatre,682194.28,1347562,-22823.7,87.2,213,7823,1605,8,0,0.61,-0.04,1,Winter
20190094,01/20/19,The Prom,Longacre Theatre,619202.05,1113250,-4420.55,86.34,247,7172,1045,8,0,0.86,0.01,1,Winter
20190095,01/20/19,The Waverly Gallery,John Golden Theatre,467163.5,760862,26309.93,77.49,273,6029,787,8,0,0.96,-0.01,1,Winter
20190096,01/20/19,To Kill A Mockingbird,Sam S. Shubert Theatre,1541088.81,1386070,4922.25,131.85,497,11688,1435,8,0,1.02,0,1,Winter
20190097,01/20/19,True West,American Airlines Theatre,440595.4,775280,17429.1,80.67,350,5462,740,0,8,0.92,0.02,1,Winter
20190098,01/20/19,Waitress,Brooks Atkinson Theatre,1026100.4,1019480,53580.6,132.35,270,7753,1045,8,0,0.93,0,1,Winter
20190099,01/20/19,Wicked,Gershwin Theatre,1478702,1779845,75599,110.26,240,13411,1807,8,0,0.93,0.02,1,Winter
20190100,01/27/19,Aladdin,New Amsterdam Theatre,1191763.8,1359846,-12006.8,89.55,215.5,13309,1727,8,0,0.96,0.05,1,Winter
20190101,01/27/19,American Son,Booth Theatre,798281.75,888864,59665.8,126.17,297,6327,774,8,0,1.02,0.02,1,Winter
20190102,01/27/19,Anastasia,Broadhurst Theatre,585391.46,1093588,-78792.54,75.56,297,7747,1143,8,0,0.85,0.01,1,Winter
20190103,01/27/19,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,665548.7,1106908,-5109.7,87.98,247,7565,1026,8,0,0.92,0.03,1,Winter
20190104,01/27/19,Chicago,Ambassador Theatre,598291.3,967724,33386.25,81.42,187,7348,1080,8,0,0.85,0.07,1,Winter
20190105,01/27/19,Choir Boy,Samuel J. Friedman Theatre,365102.5,686712,21245.6,76.59,249,4767,637,8,0,0.94,0.09,1,Winter
